,srv_lat,srv_long,epoch_s,ind,BigBelly,dist
807,42.3599,-71.1303,1404473998,807,245,1689.198123677061
808,42.3498,-71.1649,1395640212,808,216,2526.8539954076773
809,42.3551,-71.1296,1402407721,809,299,814.3106733088579
810,42.2947,-71.0524,1401260317,810,282,5228.31741224379
811,42.3524,-71.1253,1401341242,811,74,179.0090360465444
812,42.3558,-71.1429,1398167179,812,399,1630.3446284159506
813,42.2955,-71.0613,1396070366,813,282,3210.1749128004194
814,42.3126,-71.0794,1404128339,814,489,4052.3524708277555
815,42.2797,-71.1311,1408980074,815,N,A
816,42.3542,-71.1313,1410178190,816,474,472.798496251866
817,42.2922,-71.0762,1391787881,817,282,1704.5916379604892
818,42.3206,-71.0908,1404974978,818,300,2680.7844028245877
819,42.3115,-71.0543,1390321189,819,172,170.22109327720162
820,42.354,-71.1363,1412581399,820,380,15.913309297463819
821,42.2797,-71.0885,1415638350,821,436,5425.315374195744
822,42.357,-71.153,1391438992,822,259,1121.5756477920877
823,42.2575,-71.1579,1411918057,823,N,A
824,42.2851,-71.0872,1407228393,824,436,3781.944326463139
825,42.351,-71.1477,1403793430,825,485,1100.634165910782
826,42.3533,-71.1327,1399460459,826,474,122.30207607632242
827,42.2969,-71.067,1399015745,827,498,2276.4165132707435
828,42.3578,-71.1276,1393482598,828,245,1592.1252632497442
829,42.3527,-71.1373,1410936372,829,379,267.05521894321106
830,42.3411,-71.1603,1399617590,830,368,1659.9348383090007
831,42.3378,-71.1477,1403184398,831,460,503.8929181299049
832,42.351,-71.1477,1403682214,832,485,1100.634165910782
833,42.3096,-71.1066,1401201582,833,493,3132.364628539803
834,42.3088,-71.0638,1405055465,834,369,925.6583498078638
835,42.3077,-71.0815,1407851240,835,489,3813.085688661563
836,42.3386,-71.1562,1401892958,836,225,782.1472221641782
837,42.3099,-71.1057,1405322506,837,493,2877.02876815354
838,42.3558,-71.1435,1397111876,838,259,1513.8112119208163
839,42.3501,-71.1711,1412165804,839,357,3821.129671874983
840,42.2868,-71.0789,1406823015,840,282,2550.767685817829
841,42.3098,-71.1063,1405702445,841,493,3023.00706458926
842,42.3404,-71.1607,1410420592,842,368,1520.5267317541775
843,42.3517,-71.1702,1406127216,843,216,4071.870817684508
844,42.3637,-71.1364,1412353734,844,245,3115.3262754284324
845,42.3387,-71.1468,1403535124,845,460,910.5297863720383
846,42.296,-71.0706,1398235895,846,282,2157.325666044287
847,42.355,-71.1299,1408105464,847,299,771.5295146147239
848,42.2877,-71.153,1412251949,848,N,A
849,42.3267,-71.104,1415369624,849,409,1461.857715696902
850,42.3579,-71.1271,1411556891,850,245,1728.4331386247695
851,42.306,-71.0681,1390929073,851,489,154.65729721057141
852,42.31,-71.0617,1406705620,852,369,496.07557640575703
853,42.3606,-71.1389,1411737878,853,245,2482.763453260739
854,42.3594,-71.0587,1399651151,854,90,83.60968504801636
855,42.3008,-71.0856,1405337673,855,436,3528.9196142094324
856,42.3017,-71.0579,1414424230,856,498,2842.143935662287
857,42.3489,-71.1376,1407758947,857,176,930.4201046228256
858,42.3412,-71.1446,1397455977,858,460,2000.1683480841687
859,42.2836,-71.1384,1402312226,859,N,A
860,42.3594,-71.0587,1412926854,860,90,83.60968504801636
861,42.322,-71.1081,1402576149,861,131,215.63834076571496
862,42.3602,-71.1445,1416401222,862,259,1940.8117469851045
863,42.3582,-71.1357,1404887352,863,245,1250.565246971617
864,42.2961,-71.0551,1396423952,864,498,4374.562051332199
865,42.3092,-71.0652,1404318733,865,369,1008.092065686877
866,42.3637,-71.1369,1411630522,866,245,3162.1379536323857
867,42.3594,-71.0587,1402220265,867,90,83.60968504801636
868,42.3097,-71.106,1405956452,868,493,2986.389162027969
869,42.3094,-71.0673,1403073977,869,489,1363.4790573022512
870,42.3096,-71.1066,1405660190,870,493,3132.364628539803
871,42.2855,-71.1188,1404227718,871,436,7235.499867221439
872,42.3455,-71.1402,1403506491,872,176,1962.0172192711477
873,42.3026,-71.1143,1393253070,873,436,6216.821695949494
874,42.2905,-71.064,1405610859,874,282,1803.2336093319047
875,42.3057,-71.0704,1402486259,875,489,723.7060950280493
876,42.3043,-71.0688,1406637886,876,498,473.31740062820586
877,42.2984,-71.0717,1402929428,877,498,1955.2419654226321
878,42.3611,-71.1428,1398148594,878,259,2492.4788673212656
879,42.3387,-71.1608,1405669014,879,404,1586.6176486079762
880,42.3125,-71.0791,1403530858,880,489,3965.9237341498592
881,42.3551,-71.1294,1409579854,881,299,823.0206654597238
882,42.3539,-71.1289,1401691183,882,299,473.0166140502417
883,42.2657,-71.1661,1406566422,883,N,A
884,42.3477,-71.1572,1395900402,884,216,627.4571723826447
885,42.3594,-71.0587,1394715349,885,90,83.60968504801636
886,42.3094,-71.0724,1398338233,886,489,1857.6607591774552
887,42.3514,-71.1418,1413461822,887,379,1301.583049433469
888,42.2735,-71.1698,1400510125,888,N,A
889,42.3492,-71.1644,1398521852,889,216,2374.8126586678013
890,42.3092,-71.0646,1410191102,890,369,901.7823532420374
891,42.3054,-71.0842,1405410668,891,498,4432.901541127
892,42.2892,-71.0794,1404399843,892,282,2410.717367858968
893,42.2859,-71.0709,1398773219,893,282,1525.2839224004633
894,42.3124,-71.1106,1409036001,894,249,3160.7820915704933
895,42.2545,-71.1251,1418801477,895,N,A
896,42.3529,-71.1388,1412580347,896,379,320.4064191735722
897,42.3579,-71.1273,1411557026,897,245,1680.9926278141545
898,42.3591,-71.1299,1402911851,898,245,1476.5400951823785
899,42.289,-71.0534,1404882581,899,282,4694.538914239729
900,42.3013,-71.0579,1395676523,900,498,2871.584649694275
901,42.289,-71.152,1410854509,901,N,A
902,42.3613,-71.1431,1412947139,902,259,2492.548959724883
903,42.3526,-71.1334,1403524900,903,353,243.6836814346334
904,42.3103,-71.0667,1408976299,904,369,1157.0682594008952
905,42.3133,-71.0787,1394213604,905,489,4074.8481198455947
906,42.3168,-71.0587,1399611740,906,376,1518.102310653268
907,42.3168,-71.1071,1406042944,907,249,1808.6181653357023
908,42.3532,-71.1303,1395383737,908,299,143.9832390860475
909,42.3489,-71.1376,1400765721,909,176,930.4201046228256
910,42.2877,-71.0656,1405094583,910,282,1614.5447830060405
911,42.3016,-71.0746,1390922577,911,498,1824.2406480883187
912,42.3093,-71.1065,1403266022,912,493,3185.1075097112193
913,42.2863,-71.0476,1412836715,913,282,6404.454683484736
914,42.3127,-71.0563,1402067661,914,172,816.8219905508591
915,42.2841,-71.0525,1410957370,915,282,5383.4326493111
916,42.3072,-71.1181,1407765980,916,249,5462.986007234559
917,42.288,-71.0566,1402326057,917,282,3882.8913794201717
918,42.3113,-71.0603,1410357968,918,369,629.4238099224701
919,42.301,-71.058,1391178970,919,498,2872.0596801699994
920,42.3258,-71.0964,1410519991,920,300,1535.397400498744
921,42.346,-71.151,1417625618,921,426,1065.3781447755546
922,42.3537,-71.1315,1409122281,922,474,298.8805774550098
923,42.3557,-71.1482,1403593607,923,259,274.00031429836383
924,42.3057,-71.0709,1410421677,924,489,859.6050034301462
925,42.3582,-71.1356,1404887428,925,245,1232.8498981785353
926,42.3546,-71.1309,1409580377,926,245,607.6479418663207
927,42.3523,-71.122,1390375858,927,337,449.71555574571664
928,42.3494,-71.132,1393224759,928,334,457.2931592475155
929,42.3102,-71.0641,1412234715,929,369,539.973928243619
930,42.3582,-71.1296,1413372687,930,245,1258.75554150624
931,42.3499,-71.1705,1412165611,931,357,3701.9771971209875
932,42.2646,-71.0974,1414390582,932,N,A
933,42.2851,-71.0874,1406275187,933,436,3753.0888045517045
934,42.3225,-71.1012,1410502445,934,300,270.7577255007029
935,42.3486,-71.1698,1391611873,935,357,3193.8437340404507
936,42.3496,-71.1633,1409653738,936,216,2086.5102997190174
937,42.3015,-71.0727,1409306327,937,498,1354.8628886285717
938,42.3006,-71.0819,1411106014,938,498,3834.9013178532077
939,42.3174,-71.0575,1400830537,939,454,1514.7347141992932
940,42.3452,-71.1402,1399124608,940,176,2025.1998334665943
941,42.2853,-71.0942,1408981127,941,436,3122.500272502439
942,42.3594,-71.0587,1407843145,942,90,83.60968504801636
943,42.3469,-71.14,1393954383,943,176,1678.1108713586352
944,42.3526,-71.1386,1407252385,944,379,349.9099147304344
945,42.3196,-71.0555,1389252834,945,454,1571.3705949851178
946,42.313,-71.0973,1402411289,946,493,831.0280870797599
947,42.3171,-71.0575,1400746167,947,454,1599.1146032281238
948,42.283,-71.1395,1402897272,948,N,A
949,42.3265,-71.0953,1396532996,949,300,1926.342177688523
950,42.3466,-71.1033,1399962117,950,116,861.3316578750208
951,42.3475,-71.1401,1411108040,951,176,1641.1021617651297
952,42.3379,-71.1471,1402295206,952,460,625.906991327344
953,42.343,-71.1461,1409294570,953,460,2434.0230293468503
954,42.3559,-71.137,1412665670,954,380,731.2925682301002
955,42.3224,-71.1027,1399911316,955,409,528.582714815603
956,42.285,-71.065,1418371716,956,282,2398.405005615083
957,42.3594,-71.0587,1411973542,957,90,83.60968504801636
958,42.2954,-71.0607,1409813942,958,282,3318.8326925208958
959,42.3415,-71.1504,1399821351,959,225,1414.9606746854308
960,42.314,-71.1018,1401699567,960,493,1151.9928884274827
961,42.3524,-71.1253,1404402521,961,74,179.0090360465444
962,42.3594,-71.0587,1415004492,962,90,83.60968504801636
963,42.3029,-71.0579,1400430111,963,498,2797.874744782273
964,42.298,-71.0634,1395237713,964,498,2264.283293565787
965,42.3538,-71.1291,1401443788,965,299,411.1476447158002
966,42.3594,-71.0587,1400562339,966,90,83.60968504801636
967,42.3101,-71.0581,1395318466,967,369,1287.532060124321
968,42.3584,-71.1367,1404136334,968,245,1492.5530653677274
969,42.3594,-71.0587,1412771091,969,90,83.60968504801636
970,42.288,-71.0566,1399392162,970,282,3882.8913794201717
971,42.2964,-71.0547,1408035260,971,498,4402.032149738672
972,42.31,-71.1061,1399562241,972,493,2934.246270259847
973,42.2863,-71.1439,1404389276,973,N,A
974,42.3407,-71.1596,1396424352,974,368,1826.7893171294052
975,42.3594,-71.0587,1414653041,975,90,83.60968504801636
976,42.3611,-71.1415,1395125804,976,259,2745.702196470502
977,42.3102,-71.0583,1389249247,977,369,1224.7645154071056
